problem_id,Problem,Query,Label,source_index,type,target_name
prob_76,prob_76,"Gandhi Cloth Company is capable of manufacturing three types of clothing: shirts, shorts, and pants. The manufacture of each type of clothing requires that Gandhi have the appropriate type of machinery available. The machinery needed to manufacture each type of clothing must be rented at the following rates: shirt machinery, $200 per week; shorts machinery, $150 per week; pants machinery, $100 per week. The manufacture of each type of clothing also requires the amounts of cloth and labor as shown in the following Table 1. Each week, 150 hours of labor and 160 sq yd of cloth are available. The variable unit cost and selling price for each type of clothing are shown in Table 2. Formulate an LP whose solution will maximize Gandhi's weekly profits. Table 1 (The amount of labor hours and cloth required for each type of clothing): | Clothing Type | Labor Hours | Cloth (sq yd) | | ------------- | ----------- | ------------- | | Shirt | 3 | 4 | | Shorts | 2 | 3 | | Pants | 6 | 4 | Table 2 (Revenue and Cost Information for each type of clothing): | Clothing Type | Sales Price | Variable Cost | | ------------- | ----------- | ------------- | | Shirt | $12 | $6 | | Shorts | $8 | $4 | | Pants | $15 | $8 |",75,75,linear-table,The maximum weekly profit
prob_77,prob_77,"An artisan makes two types of terracotta jars: a thin jar and a stubby jar. Each thin jar requires 50 minutes of shaping time and 90 minutes of baking time. Each stubby jar requires 30 minutes of shaping time and 150 minutes of baking time. Per week, there are 3000 minutes available for shaping and 4000 minutes available for baking. The profit per thin jar is $5 and the profit per stubby jar is $9. How many jars of each type should the artisan make to maximize profit?",239,76,linear-notable,The profit
prob_78,prob_78,"A company which manufactures canoes employs 120 employees, each working 30 hours per week. The workforce is distributed across three departments: carpenter, plastics, and completion. The company produces two types of canoes: simple and luxury, with net unit profits of $7 and $10, respectively. The time required to manufacture each type of canoe in the different departments is detailed in the following Table. Additionally, marketing calculations have determined that at least 1/3 and no more than 2/3 of the total number of canoes produced should be luxury models. How can the company maximize its overall net profit? Table (Hours required to manufacture each type of canoe in different departments): | Canoe Type | Carpenter Department | Plastics Department | Completion Department | |------------|----------------------|---------------------|-----------------------| | Simple | 4.5 | 2 | 2 | | Luxury | 5 | 1 | 4 | Table (Number of employees in each department): | Department | Number of Employees | |--------------------|---------------------| | Carpenter | 60 | | Plastics | 20 | | Completion | 40 |",3300,77,linear-table,The maximum overall net profit
prob_79,prob_79,"A company is considering opening warehouses in four cities: New York, Los Angeles, Chicago, and Atlanta. Each warehouse can ship 100 units per week. The weekly fixed cost of keeping each warehouse open is $400 for New York, $500 for Los Angeles, $300 for Chicago, and $150 for Atlanta. Region 1 of the country requires 80 units per week, region 2 requires 70 units per week, and region 3 requires 40 units per week. The costs (including production and shipping costs) of sending one unit from a warehouse to a region are shown in the following Table. We want to meet weekly demands at minimum cost, subject to the preceding information and the following restrictions: 1. If the New York warehouse is opened, then the Los Angeles warehouse must be opened. 2. At most two warehouses can be opened. 3. Either the Atlanta or the Los Angeles warehouse must be opened. Minimize the weekly costs of meeting demand. Table (Costs of sending one unit from a warehouse to a region): | From / To ($) | Region 1 | Region 2 | Region 3 | | ------------- | -------- | -------- | -------- | | New York | 20 | 40 | 50 | | Los Angeles | 48 | 15 | 26 | | Chicago | 26 | 35 | 18 | | Atlanta | 24 | 50 | 35 |",4750,78,linear-table,The weekly cost of meeting demand is
prob_80,prob_80,"The U.S. post office will accept a box for shipment only if the sum of the length and girth is at most 108 in. (Girth is the maximum distance around the package perpendicular to the length; for a rectangular box, the length is the largest of the three dimensions.) Find the dimensions of the largest acceptable box with square front and back.",11664,79,nonlinear-notable,The maximum volume of the box
prob_81,prob_81,"A client asks his stockbroker to invest in five stocks: Oil, Auto, Pharmaceutical, Tech, and Green Energy. The estimated annual return, risk, and current price for each stock are given in the following Table. | Stock | Estimated Annual Return | Risk | Current Price | |----------------|-------------------------|------|---------------| | Oil | 10% | 5% | $100 | | Auto | 15% | 8% | $200 | | Pharmaceutical | 20% | 10% | $150 | | Tech | 25% | 12% | $250 | | Green Energy | 18% | 7% | $180 | The client has $100,000 to invest. The client wants to invest at least $60,000 in all stocks combined. The client wants to invest at least $9,000 in the oil stock. The client also wants to ensure that no more than 40 percent of the money is put into any one stock. The client aims to maximize the Benefit-Risk ratio of the investment (defined as the sum of the estimated annual returns divided by the sum of the investment risks).",2.4203881963074005,80,nonlinear-table,Benefit-Risk Ratio
prob_82,prob_82,"A research group is making fabric and plastic using two methods, method A and method B. Method A produces 25 units of fabric and 14 units of plastic per hour. Method B produces 45 units of fabric and 25 units of plastic per hour. Method A requires 60 units of a special element while method B requires 65 units of the same special element. The research group has available 3500 units of the special element and must make at least 1400 units of fabric and 1000 units of plastic. How many of each method should be executed to minimize the total time needed?",40,81,linear-notable,The total time needed
prob_83,prob_83,"The number of employees needed in a post office varies depending on the day of the week, as listed as Monday 15, Tuesday 13, Wednesday 15, Thursday 18, Friday 14, Saturday 16 and Sunday 10. Employees work five consecutive days and have the next two days off. It becomes necessary to organize groups of employees to work in different shifts, so that the number of employees required is satisfied every day of the week. The objective is to employ the minimum number of workers.",22,82,linear-notable,The minimum number of workers needed is
prob_84,prob_84,"A tropical farmer has 100 acres of land to grow guavas and mangos. He prefers to grow more mangos than guavas, but because they require so much more work, he can grow at most 2 times the amount of mangos as guavas. In addition he must grow at least 20 acres of guavas and at least 40 acres of mangos. If the profit per acre of guavas is $300 and the profit per acres of mangos is $500, how many acre of each should he grow to maximize profit?",43333.3334,83,linear-notable,The maximum profit
prob_85,prob_85,"A toy company makes toys and knows that most of their customers are young boys and girls. To reach these groups, the company has decided to purchase commercial spots on cartoons and kids-movies. Each cartoon is seen by 2 millions young boys and 1 million young girls. Each kids-movie is seen by 4 million young boys and 6 million young girls. The company wants their commercials to be seen by at least 30 million young boys and 40 million young girls. If a commercial during a cartoon costs $5000 and a commercial during a kids-movie costs $12000, how many of each should be purchased to minimize cost?",89000,84,linear-notable,The total cost of the commercials
prob_86,prob_86,"A manufacturer can sell product 1 at a profit of $2/unit and product 2 at a profit of $5/unit. Three units of raw material are needed to manufacture 1 unit of product 1, and 6 units of raw material are needed to manufacture 1 unit of product 2. A total of 120 units of raw material are available. If any of product 1 is produced, a setup cost of $10 is incurred, and if any of product 2 is produced, a setup cost of $20 is incurred. Formulate an LP to maximize profits.",80,85,linear-notable,The total profit
prob_87,prob_87,"A manufacturing company is planning to produce four types of products: ProductA, ProductB, ProductC, and ProductD. They need to decide how many units of each product to produce in the next month to optimize their profit. The profit per unit and the production cost per unit, which increases non-linearly with the number of units produced, are given in the following Table. | Product | Profit per Unit | Production Cost per Unit | |---------|-----------------|--------------------------| | ProductA | $50 | $30 + (ProductAUnits^2)/1000 | | ProductB | $70 | $40 + (ProductBUnts^2)/1000 | | ProductC | $90 | $50 + (ProductCUnits^2)/1000 | | ProductD | $110 | $60 + (ProductDUnits^2)/1000 | The company has a total production capacity of 1000 units for the month. Due to market demand, the company must produce at least 100 units of ProductA and no more than 200 units. The company has a budget of $50,000 for production costs for the month. The company wants to maximize the total net profit, which is the sum of the profits from each product minus the respective production costs.",10382.436,86,nonlinear-table,Total Net Profit
prob_88,prob_88,"Dorian Auto has a $20,000 advertising budget. Dorian can purchase full-page ads in two magazines: Inside Jocks (IJ) and Family Square (FS). An exposure occurs when a person reads a Dorian Auto ad for the first time. The number of exposures generated by each ad in IJ is as follows: ads 1-6, 10,000 exposures; ads 7-10, 3,000 exposures; ads 11-15, 2,500 exposures; ads 16+, 0 exposures. For example, 8 ads in IJ would generate 6(10,000) + 2(3,000) = 66,000 exposures. The number of exposures generated by each ad in FS is as follows: ads 1-4, 8,000 exposures; ads 5-12, 6,000 exposures; ads 13-15, 2,000 exposures; ads 16+, 0 exposures. Thus, 13 ads in FS would generate 4(8,000) + 8(6,000) + 1(2,000) = 82,000 exposures. Each full-page ad in either magazine costs $1,000. Assume there is no overlap in the readership of the two magazines. Formulate an LP to maximize the number of exposures that Dorian can obtain with limited advertising funds.",146000,87,linear-notable,The maximum number of exposures
prob_89,prob_89,You need to construct a square-bottomed box. The box should have a volume of at least 1000 cubic centimeters. Please find the dimensions that will minimize the surface area of the box.,476.2203153047384,88,nonlinear-notable,The minimum surface area of the box
prob_90,prob_90,"A city is planning to install five different types of renewable energy sources: solar panels, wind turbines, hydroelectric plants, biomass generators, and geothermal systems. The city needs to decide how many units of each type of energy source to install. The installation cost per unit, annual energy output, and maintenance cost per year per unit for each type of energy source are given in the following Table. | Energy Source | Installation Cost per Unit | Annual Energy Output | Maintenance Cost per Year per Unit | |---------------------|---------------------------|----------------------|------------------------------------| | Solar Panels | $5,000 | 10,000 kWh | $500 | | Wind Turbines | $10,000 | 20,000 kWh | $1,000 | | Hydroelectric Plants| $15,000 | 30,000 kWh | $1,500 | | Biomass Generators | $7,000 | 15,000 kWh | $700 | | Geothermal Systems | $20,000 | 40,000 kWh | $2,000 | The city has a budget of $500,000 for the installation of renewable energy sources. The city wants to ensure that at least 20% of the budget is spent on solar panels. The city has a maintenance budget of $50,000 per year. The city wants to maximize the net energy output per dollar spent in the next decade.",10.571142284569138,89,nonlinear-table,Maximized Energy Output per Dollar
prob_91,prob_91,You need to construct a cylinder with a hemispherical top. The container's volume is at least 100 cubic units. The hemispherical top has the same radius as the cylinder. The container is made with no bottom. The cost per unit area of the top is twice as great as the cost per unit area of the side. Please find the height and radius of the cylinder that minimizes the cost of the container.,131.26857993995196,90,nonlinear-notable,The minimum cost of the container
prob_92,prob_92,"Owners of a car rental company have determined that if they charge customers p dollars per day to rent a car, where 50≤p≤200, the number of cars n they rent per day can be modeled by the linear function n(p)=1000-5p. The price per day should be integer($). If they charge $50 per day or less, they will rent all their cars. If they charge $200 per day or more, they will not rent any cars. Assuming the owners plan to charge customers between $50 per day and $200 per day to rent a car, how much should they charge to maximize their revenue?",50000,91,nonlinear-notable,The maximum revenue
prob_93,prob_93,"You want to make a rectangular pen for hogs. You have 800 ft of fencing. There is a river on one side of your property, and you do not need to fence that side. What is the dimension of the rectangular pen that maximizes the area?",80000,92,nonlinear-notable,The maximum area of the pen
prob_94,prob_94,"A company seeks to maximize exposure within a limited advertising budget. The exposure per ad or commercial, along with the cost for each medium, is provided in the following Table. The budget is limited to $100,000, with a maximum of four television commercials, ten radio commercials, and seven newspaper ads. Additionally, there is a cap of 15 total commercials and/or ads. How can the company maximize exposure within these constraints? Table (Exposure and Cost per Advertising Medium): | Advertising Medium | Exposure (people/ad or commercial) | Cost (USD) | | ------------------- | ---------------------------------- | ---------- | | Television Commercial | 20,000 | 15,000 | | Radio Commercial | 2,000 | 6,000 | | Newspaper Ad | 9,000 | 4,000 | Constraints: - Total budget: $100,000 - Maximum number of television commercials: 4 - Maximum number of radio commercials: 10 - Maximum number of newspaper ads: 7 - Maximum total number of commercials and/or ads: 15",147000,93,linear-table,The maximum exposure
prob_95,prob_95,"A macro-counting fitness guru only eats salmon and eggs. Each bowl of salmon contains 300 calories, 15 grams of protein, and 80 mg of sodium. Each bowl of eggs contains 200 calories, 8 grams of protein, and 20 mg of sodium. Since the fitness guru has a limit to how many eggs he would like to eat, at most 40% of his meals can be eggs. The fitness guru needs to eat at least 2000 calories and 90 grams of protein. How many of each type of meal should he eat to minimize his sodium intake?",5,94,linear-notable,The number of salmon meals
prob_96,prob_96,"A student takes calcium pills and vitamin D pills one after the other. Each calcium pill takes 5 minutes to be effective while each vitamin D pill takes 6 minutes to be effective. Over a month, the student must take at least 130 pills of medication and at least 40 should be vitamin D pills because they enhance the absorption of calcium in the body. Since vitamin D is complimentary to calcium, the student must take more calcium pills than vitamin D pills. How many pills of each should the student take to minimize the total time it takes for the medication to be effective?",690,95,linear-notable,The total time for the medication to be effective
prob_97,prob_97,"A flooring company produces engineered hardwood and vinyl planks. Their sales forecasts show an expected demand of at least 20,000 square foot of hardwood and 10,000 square feet of vinyl planks each week. To satisfy a shipping contract, a total of at least 60,000 square feet of flooring much be shipped each week. Due to a labor shortage issue, no more than 50,000 square feet of hardwood and 30,000 square feet of vinyl can be produced weekly. If a square foot of hardwood flooring yields a profit of $2.5 and a square foot of vinyl planks produces a $3 profit, how many of each type of flooring should be made weekly to maximize the company's profit?",215000,96,linear-notable,The maximum company's profit
prob_98,prob_98,"A company is considering opening warehouses in four cities: New York, Los Angeles, Chicago, and Atlanta. Each warehouse can ship 100 units per week. The weekly fixed cost of keeping each warehouse open is $400 for New York, $500 for Los Angeles, $300 for Chicago, and $150 for Atlanta. Region 1 of the country requires 80 units per week, region 2 requires 70 units per week, and region 3 requires 40 units per week. The costs (including production and shipping costs) of sending one unit from a plant to a region are shown in Table 3. We want to meet weekly demands at minimum cost, subject to the preceding information and the following restrictions: 1. If the New York warehouse is opened, then the Los Angeles warehouse must be opened. 2. At most two warehouses can be opened. 3. Either the Atlanta or the Los Angeles warehouse must be opened. Formulate an LP that can be used to minimize the weekly costs of meeting demand. To ($) From Region 1 Region 2 Region 3 New York 20 40 50 Los Angeles 48 15 26 Chicago 26 35 18 Atlanta 24 50 35.",4750,97,linear-table,The weekly cost of meeting demand is
prob_99,prob_99,"A magic school sends letters to student either by carrier pigeons or owls. A carrier pigeon can carry two letters at a time and requires 3 treats for service. An owl can carry 5 letters at a time and requires 5 treats for service. At most 40% of the birds can be owls. In addition, the school only has 1000 treats available and at least 20 carrier pigeons must be uses. How many of each bird can be used to maximize the total number of letters that can be sent.",841,98,linear-notable,The total number of letters sent
prob_100,prob_100,We have a piece of cardboard that is 50 cm by 20 cm and we are going to cut out the corners and fold up the sides to form a box. Determine the height of the box that will give a maximum volume.,2030.3362942094193,99,nonlinear-notable,The maximum volume of the box
prob_101,prob_101,"Lucy has a dog and she wants his food to be mixed. In order to keep the dog healthy but also keep the food tasty, the mix needs to have a minimum of 15 units of calcium, 20 units of vitamin mix, and 20 units of protein. A regular brand costs $20 per bag and contains 4 units of calcium, 7 units of vitamin mix, and 10 units of protein. A premium brand costs $35 per bag and contains 12 units of calcium, 10 units of vitamin mix, and 16 units of protein. How many bags of each brand should Lucy mix in order to minimize cost while also meeting the taste and health requirements.",70,100,linear-notable,The total cost
prob_102,prob_102,"On their farm, the Friendly family grows apples that they harvest each fall and make into three products- apple butter, applesauce, and apple jelly. They sell these three items at several local grocery stores, at craft fairs in the region, and at their own Friendly Farm Pumpkin Festival for 2 weeks in October. Their three primary resources are cooking time in their kitchen, their own labor time, and the apples. They have a total of 500 cooking hours available, and it requires 3.5 hours to cook a 10-gallon batch of apple butter, 5.2 hours to cook 10 gallons of applesauce, and 2.8 hours to cook 10 gallons of jelly. A 10-gallon batch of apple butter requires 1.2 hours of labor, a batch of sauce takes 0.8 hour, and a batch of jelly requires 1.5 hours. The Friendly family has 240 hours of labor available during the fall. They produce about 6,500 apples each fall. A batch of apple butter requires 40 apples, a 10-gallon batch of applesauce requires 55 apples, and a batch of jelly requires 20 apples. After the products are canned, a batch of apple butter will generate $190 in sales revenue, a batch of applesauce will generate a sales revenue of $170, and a batch of jelly will generate sales revenue of $155. The Friendlys want to know how many batches of apple butter, applesauce, and apple jelly to produce in order to maximize their revenues.",27510,101,linear-notable,Total Revenue
prob_103,prob_103,"A taxi company will purchase vehicles to rent to their drivers. They are interested in purchasing either motorcycles or sedans. A motorcycle can transport 30 people, produces 4 units of pollution, and earns the taxi company $100 per shift. A sedan can transport 70 people, produces 15 units of pollution and earns the company $225 per shift. Because not every customer is comfortable with a motorcycle, at most 25% of vehicles can be motorcycles. Additionally, the company has committed to producing less than 200 units of pollution. The company needs to transport at least 1200 people every shift. How many of each type of vehicle should be used to maximize the total earnings for the taxi company per shift?",3163.26532,102,linear-table,Total earnings per shift
prob_104,prob_104,"A soup store sell two soups: a crab soup and a lobster soup. The soups are made using water, crab meat, and lobster meat. A serving of crab soup requires 7 units of water and 8 units of crab meat. A serving of lobster soup requires 10 units of water and 5 units of lobster meat. There is 80 units of water available, 65 units of crab meat available, and 55 units of lobster meat available. The profit per serving of crab soup is $3 and the profit per serving of lobster soup is $5. Formulate as a LP to maximize profit.",40,103,linear-notable,The total profit
prob_105,prob_105,You are making cylindrical containers to contain 12 cubic inches of liquid. Suppose that the top and bottom are made of a material that is times as expensive (cost per unit area) as the material used for the lateral side of the cylinder. Find the shape of the cylinder that minimizes the cost of making the containers.,41.84810349780642,104,nonlinear-notable,The minimum cost of making the containers
prob_106,prob_106,A park is designing their trails and can either create a wide trail or a narrow trail. A wide trail can take 50 visitors every day while the narrow trail expects 20 visitors every day. The wide trail will introduce 6 units of garbage and the narrow trail will introduce 3 units of garbage. There can be at most 3 wide trails and the park hopes to have at most 225 visitors every day. How many of each type of trail should the park construct to minimize the total amount of garbage produced.,0,105,linear-notable,The total amount of garbage produced
prob_107,prob_107,"Children can go to school either by van or by minibus. A van can take 6 kids and produces 7 units of pollution. A minibus can take 10 kids and produced 10 units of pollution. There are at least 150 kids than need to go to school and at most 10 minibuses can be used. In addition, the number of vans used must exceed the number of minibuses. How many of each should be used to minimize the total amount of pollution produced?",160,106,linear-notable,The total pollution produced
prob_108,prob_108,"Maple Oil processes three types of crude oil: light oil, non-sticky oil and heavy oil. Each tank of light oil produces a net revenue of $550, each tank of non-sticky oil produces a net revenue of $750, and each tank of heavy oil produces a net revenue of $950. To process a tank of light oil, 3 units of compound A and 3 units of compound B are required. To process a tank of non-sticky oil, 6 units of compound A and 2 units of compound B are required. To process a tank of heavy oil, 9 units of compound A and 3 units of compound B are required. Currently the company has 250 units of compound A and 150 units of compound B to process. How many full or partial tanks of each oil should the company process so that net revenue is maximized?",36900,107,linear-notable,The net revenue is
prob_109,prob_109,"The Ace Manufacturing Company has orders for three similar products: A, B, C Order 1750, 500, 1100. Three machines are available for the manufacturing operations. All three machines can produce all the products at the same production rate. However, due to varying defect percentages of each product on each machine, the unit costs of the products vary depending on the machine used. Machine capacities for the next week and the unit costs are as follows: machine 1, 2, 3 and capacities are 1550, 1450, 1150. The cost for machine 1, 2, 3 with product A, B, C: [$0.80, $1.30, $0.70], [$1.40, $1.30, $1.50], [$0.80, $0.80, $1.20]. Use the transportation model to develop the minimum cost production schedule for the products and machines. Show the linear programming formulation. If the constant is ""1"" it must be entered in the box. If your answer is zero enter ""0"".",2910,108,linear-notable,The minimum production cost
prob_110,prob_110,"Bangs Leisure Chairs produces three types of hand-crafted outdoor chairs: sling chairs, Adirondack chairs, and hammocks, with unit profits of $40, $100, and $90, respectively. The owner has 120 hours available each month for production and does not want to spend more than 50 hours on any one activity (cutting, assembling, and finishing). All products made can be sold. The time required for each activity for each type of chair is shown in the following Table. Determine the number of each type of chair to produce each month to maximize profit. Table (Time required in hours for each activity per chair type): | Chair Type | Cutting | Assembling | Finishing | | -------------- | ------- | ---------- | --------- | | Sling Chairs | 0.5 | 0.75 | 1 | | Adirondack | 2 | 2 | 1 | | Hammocks | 0.4 | 3 | 1 |",2400,109,linear-table,The maximum profit
prob_111,prob_111,"A small pharmacy weighs and packages their medication. Each bottle of pills takes 20 minutes of weighing and 10 minutes of packaging. Each bottle of cream takes 15 minutes of weighing and 15 minutes of packaging. The pharmacy has available 4000 minutes for weighing and 3000 minutes for packaging. If the profit per bottle of pills is $50 and the profit per bottle of cream is $60, how many of each should the pharmacy prepare to maximize profit?",12990,110,linear-notable,The total profit
prob_112,prob_112,"A company in the middle east delivers their packages to customers on camels and horses. A camel can carry 50 packages while a horse can carry 60 packages. A camel requires 20 units of food while a horse requires 30 units of food. The company needs to deliver at least 1000 packages and they have 450 units of food available. Since horses are not as suited for the hot climate, the number of horses cannot exceed the number of camels. How many of each animal should be used to minimize the total number of animals?",19,111,linear-notable,Total number of animals
prob_113,prob_113,"A soda company sends bottles of their soda to stores around the city in old and new vans. An old van can take 100 soda bottles while a new van can take 80 soda bottles. An old van produces 50 units of pollution while a new van only produces 30 units of pollution. The company needs to send at least 5000 bottles. In addition, at most 30 new vans can be used. How many of each van should be used to minimize the total amount of pollution produced?",2200,112,linear-notable,The total amount of pollution produced
prob_114,prob_114,"A sandwich company can open two types of stores, a dine-in place and a food-truck. A dine-in place can make 100 sandwiches per day and requires 8 employees to operate. A food-truck can make 50 sandwiches per day and requires 3 employees to operate. The company must make at least 500 sandwiches per day but they only have available 35 employees. How many of each type of store should the company open to minimize the total number of stores?",8,113,linear-notable,The total number of stores
prob_115,prob_115,"CE Chemicals produces two types of products, adhesives and plasticizers. To produce each type of product, we need to use both an automatic device and a human-operated device. On a given day, each processing device is available for at most 450 minutes. To extract a package of adhesives, it takes 6 minutes of processing on the automatic device and 5 minutes on human-operated device. To extract a package of plasticizers, the automatic device needs to be run for 8 minutes and the human-operated device for 4 minutes. The manufacturer can sell a package of adhesives for a revenue of $8.5 and plasticizers for a revenue of $11.5. Assuming that the company can sell all the products it produces, how many packages of each product should be produced daily in order to maximize the revenue?",646.5,114,linear-notable,The maximum daily revenue
prob_116,prob_116,"Stockco is considering four investments, each with its own net present value (NPV) and required cash outflow. Currently, $14,000 is available for investment. Tell Stockco how to maximize the NPV obtained from investments 1-4. Table (Net present value and cash outflow required for each investment): | Investment | NPV | Cash Outflow | |------------|--------|--------------| | 1 | $16,000| $5,000 | | 2 | $22,000| $7,000 | | 3 | $12,000| $4,000 | | 4 | $8,000 | $3,000 |",42000,115,linear-table,Total NPV
prob_117,prob_117,"A sign company makes signs by hand. They make LED signs and neon signs. The LED signs are made by team A and they can make at most 3 a day. The neon signs are made by team B and they can make at most 4 a day. All signs have to be quality checked by a senior QC inspector and he can check at most 7 signs total a day. If the profit per LED sign is $1500 and the profit per neon sign is $1450, how many of each sign should be made to maximize profit?",10300,116,linear-notable,The total profit
prob_118,prob_118,"A farm grows three types of crops: C1, C2, and C3, and a new type of crop C4. They need to determine the areas to allocate for each crop. The profit per acre, water usage per acre, and labor cost per acre for each crop are given in the following Table. | Crop | Profit per Acre | Water Usage per Acre | Labor Cost per Acre | |------|-----------------|----------------------|---------------------| | C1 | $100 | 500 gallons | $30 | | C2 | $120 | 600 gallons | $40 | | C3 | $140 | 700 gallons | $50 | | C4 | $160 | 800 gallons | $60 | The farm has a limited water supply of 100,000 gallons. The farm has a budget of $10,000 for labor costs. The farm has a total land area of 200 acres, and they want to use at least 50 acres in total. The farm wants to maximize the profit efficiency (profit per gallon of water used).",0.14,117,nonlinear-table,Profit Efficiency
prob_119,prob_119,"A client asks his stockbroker to invest. The broker has identified five stocks (Oil, Auto, Pharmaceutical, Tech, and Green Energy) for investment. For Auto, the estimated annual return is 15%, the risk is 8%, and the current price is $200. For Pharmaceutical, the estimated annual return is 20%, the risk is 10%, and the current price is $150. For Tech, the estimated annual return is 25%, the risk is 12%, and the current price is $250. For Green Energy, the estimated annual return is 18%, the risk is 7%, and the current price is $180. The client wants to maximize the Benefit-Risk ratio of the investment. (The Benefit-Risk ratio is defined as the sum of the estimated annual returns divided by the sum of the investment risks.) The client has $100,000 to invest. The client wants to invest at least $60,000 in all stocks combined. The client wants to invest at least $9,000 in the oil stock. Put no more than 40 percent of the money into any one stock. For Oil, the estimated annual return is 10%, the risk is 5%, and the current price is $100.",2.4203881963074005,118,nonlinear-notable,Benefit-Risk Ratio
prob_120,prob_120,"A furniture factory makes two products: bedside tables and bookcases. Both products have to go through two processes: crafting and polishing. For each bedside table, the workers spend 2.5 hours crafting and 1.5 hours polishing. For each bookcase, the workers spend 5 hours crafting and 3 hours polishing. On any day, there is a maximum of 30 crafting hours available and 20 polishing hours available. The profit from the sale of each bedside table is $200 and the profit from the sale of each bookcase is $500. The factory can sell everything they make. How should they schedule daily production in order to maximize profit?",3000,119,linear-table,The total profit
prob_121,prob_121,"Dorian Auto is considering manufacturing three types of autos: compact, midsize, and large. The resources required for, and the profits yielded by, each type of car are shown in the following Table. Currently, 10,000 tons of steel and 120,000 hours of labor are available. For production of a type of car to be economically feasible, at least 1,000 cars of that type must be produced. Maximize Dorian's profit. Table (Resources required and profits yielded for each type of car): | Auto Type | Steel Required (tons) | Labor Required (hours) | Profit Yielded ($) | |-----------|-----------------------|------------------------|--------------------| | Compact | 1.5 | 30 | 2,000 | | Midsize | 3 | 40 | 3,000 | | Large | 5 | 25 | 4,000 |",9666000,120,linear-table,The maximum profit
prob_122,prob_122,"Both chorine and water softener need to be added to a pool. One unit of chlorine takes 1 minute to be effective while one unit of water softener takes 2 minutes to be effective. Because too much chlorine can burn your eyes, there has to at most half as much chlorine as water softener in the pool. If there has to be at least 100 units of chlorine in the water and a total of 500 units of chemicals in the water, how many units of each should be added to minimize the total time it takes for the pool to be ready? (Note: chlorine must be added before water softener or vice versa).",834,121,linear-notable,The total time for the pool to be ready
prob_123,prob_123,"Brooks City has three consolidated high schools, each with a capacity of 1,200 students. The school board has partitioned the city into five busing districts—north, south, east, west, and central—each with different high school student populations. The three schools are located in the central, west, and south districts. Some students must be bused outside their districts, and the school board wants to minimize the total bus distance traveled by these students. The following Table shows the average distances from each district to the three schools and the total student population in each district. The school board wants to determine the number of students to bus from each district to each school to minimize the total busing miles traveled. Table (Average distances from each district to the schools and student populations): | District | Central School (miles) | West School (miles) | South School (miles) | Student Population | | -------- | ---------------------- | ------------------- | -------------------- | ------------------ | | North | 8 | 11 | 14 | 700 | | South | 12 | 9 | 0 | 300 | | East | 9 | 16 | 10 | 900 | | West | 8 | 0 | 9 | 600 | | Central | 0 | 8 | 12 | 500 |",21700,122,linear-table,Total busing miles traveled
prob_124,prob_124,"A box with square base is to hold a volume 200. The bottom and top are formed by folding in flaps from all four sides, so that the bottom and top consist of two layers of cardboard. Find the dimensions of the box that requires the least material. Also find the ratio of height to side of the base.",205.19711284322852,123,nonlinear-notable,The minimum surface area of the box
prob_125,prob_125,"An incandescent bulb manufacturing company uses either an argon gas approach or halogen gas approach to fill their light bulbs. The argon gas approach uses 10 units of gas and 12 units of glass to make 2 light bulbs. The halogen gas approach uses 12 units of gas and 8 units of glass to make 3 light bulbs. Additionally, the argon gas approach generates 3 units of heat while the halogen gas approach creates 4 units of heat. The manufacturing company has available 150 units of gas and 120 units of glass. If at most 28 units of heat can be generated during the manufacturing process, how many of each method should be used to maximize the number of light bulbs produced?",21,124,linear-notable,The total number of light bulbs produced
prob_126,prob_126,"A small chocolate shop makes milk chocolate and dark chocolate bars. Milk chocolate bars require 4 units of cocoa and 7 units of milk. Dark chocolate bars require 6 units of cocoa and 3 units of milk. The shop has 2000 units of cocoa and 1750 units of milk available. In addition since milk chocolate sells better, at least 2 times as many milk chocolate bars need to be made as dark chocolate bars. If making a milk chocolate bar takes 15 minutes and making a dark chocolate bar takes 12 mins, how many of each should the make to minimize total production time?",0,125,linear-notable,Total production time
prob_127,prob_127,"Basel Tool and Die Company (BTD) makes large industrial pipe wrenches in one of its factories. The marketing department estimates demand for this product during the next 6 months to be: January 370, February 430, March 380, April 450, May 520, June 440. With the current labor force, BTD believes it can make approximately 420 pipe wrenches per month at a cost of $40 per wrench using regular-time production. An additional 80 wrenches per month can be made using overtime production at a cost per wrench of $45. Wrenches can be made in advance and held in inventory for later shipment at a cost of $3 per month per wrench. The monthly demand for wrenches must be satisfied every month. At the end of December (beginning of January) BTD has 10 wrenches in inventory. BTD wants to plan its production, including overtime, and inventory for the next 6 months so as to maximize profit. Assuming the revenue for these wrenches is fixed, the production manager can maximize profit by minimizing the total costs incurred in producing and delivering the wrenches.",103960,126,linear-notable,Total cost
prob_128,prob_128,"A hot dog store sells two products: its regular hot-dog, and a premium hot-dog with more toppings. The store makes x1 regular hot-dogs a day at a profit of $3 each and x2 premium hot-dogs a day at a profit of $5 each. (x1 and x2 are unknowns and they both must be greater than or equal to 0). Currently, the demand is limited to at most 100 regular hot-dogs per day and at most 250 premium hot-dogs per day. Also, the store can make a maximum of 300 hot-dogs of either type per day. How many of each hot-dog should be made to maximize profit?",1400,127,linear-notable,Maximum profit per day
